School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2006-2007,136,Chesapeake City,Mathematics,Grade 3,SOL,Mathematics,"1,512","1,031",181,"2,543","2,724",55.51,37.85,6.64,93.36,502
2006-2007,21,Chesterfield County,Mathematics,Grade 3,SOL,Mathematics,"2,236","1,639",316,"3,875","4,191",53.35,39.11,7.54,92.46,499
2006-2007,22,Clarke County,Mathematics,Grade 3,SOL,Mathematics,81,55,24,136,160,50.63,34.38,15,85,485
2006-2007,202,Colonial Beach,Mathematics,Grade 3,SOL,Mathematics,14,23,6,37,43,32.56,53.49,13.95,86.05,463
2006-2007,106,Colonial Heights City,Mathematics,Grade 3,SOL,Mathematics,106,95,15,201,216,49.07,43.98,6.94,93.06,492
2006-2007,107,Covington City,Mathematics,Grade 3,SOL,Mathematics,35,16,0,51,51,68.63,31.37,0,100,532
2006-2007,23,Craig County,Mathematics,Grade 3,SOL,Mathematics,16,25,7,41,48,33.33,52.08,14.58,85.42,460
2006-2007,24,Culpeper County,Mathematics,Grade 3,SOL,Mathematics,254,218,71,472,543,46.78,40.15,13.08,86.92,485
2006-2007,25,Cumberland County,Mathematics,Grade 3,SOL,Mathematics,35,42,23,77,100,35,42,23,77,464
2006-2007,108,Danville City,Mathematics,Grade 3,SOL,Mathematics,164,245,82,409,491,33.4,49.9,16.7,83.3,471
2006-2007,26,Dickenson County,Mathematics,Grade 3,SOL,Mathematics,60,107,22,167,189,31.75,56.61,11.64,88.36,467
2006-2007,27,Dinwiddie County,Mathematics,Grade 3,SOL,Mathematics,155,128,17,283,300,51.67,42.67,5.67,94.33,499
2006-2007,28,Essex County,Mathematics,Grade 3,SOL,Mathematics,55,57,10,112,122,45.08,46.72,8.2,91.8,491
2006-2007,29,Fairfax County,Mathematics,Grade 3,SOL,Mathematics,"6,106","4,487","1,123","10,593","11,716",52.12,38.3,9.59,90.41,501
2006-2007,109,Falls Church City,Mathematics,Grade 3,SOL,Mathematics,82,45,4,127,131,62.6,34.35,3.05,96.95,521
2006-2007,30,Fauquier County,Mathematics,Grade 3,SOL,Mathematics,409,333,97,742,839,48.75,39.69,11.56,88.44,490
2006-2007,31,Floyd County,Mathematics,Grade 3,SOL,Mathematics,89,50,8,139,147,60.54,34.01,5.44,94.56,515
2006-2007,32,Fluvanna County,Mathematics,Grade 3,SOL,Mathematics,81,142,57,223,280,28.93,50.71,20.36,79.64,462
2006-2007,135,Franklin City,Mathematics,Grade 3,SOL,Mathematics,20,49,14,69,83,24.1,59.04,16.87,83.13,458
2006-2007,33,Franklin County,Mathematics,Grade 3,SOL,Mathematics,313,193,26,506,532,58.83,36.28,4.89,95.11,513
2006-2007,34,Frederick County,Mathematics,Grade 3,SOL,Mathematics,425,362,102,787,889,47.81,40.72,11.47,88.53,491
2006-2007,110,Fredericksburg City,Mathematics,Grade 3,SOL,Mathematics,84,73,32,157,189,44.44,38.62,16.93,83.07,484
2006-2007,111,Galax City,Mathematics,Grade 3,SOL,Mathematics,65,43,1,108,109,59.63,39.45,0.92,99.08,513
2006-2007,35,Giles County,Mathematics,Grade 3,SOL,Mathematics,69,87,17,156,173,39.88,50.29,9.83,90.17,481
2006-2007,36,Gloucester County,Mathematics,Grade 3,SOL,Mathematics,197,160,46,357,403,48.88,39.7,11.41,88.59,490
2006-2007,37,Goochland County,Mathematics,Grade 3,SOL,Mathematics,98,60,4,158,162,60.49,37.04,2.47,97.53,515
2006-2007,38,Grayson County,Mathematics,Grade 3,SOL,Mathematics,55,73,22,128,150,36.67,48.67,14.67,85.33,473
2006-2007,39,Greene County,Mathematics,Grade 3,SOL,Mathematics,86,83,38,169,207,41.55,40.1,18.36,81.64,477
2006-2007,40,Greensville County,Mathematics,Grade 3,SOL,Mathematics,58,97,21,155,176,32.95,55.11,11.93,88.07,467
2006-2007,41,Halifax County,Mathematics,Grade 3,SOL,Mathematics,167,204,58,371,429,38.93,47.55,13.52,86.48,476
2006-2007,112,Hampton City,Mathematics,Grade 3,SOL,Mathematics,648,713,193,"1,361","1,554",41.7,45.88,12.42,87.58,478
2006-2007,42,Hanover County,Mathematics,Grade 3,SOL,Mathematics,829,470,78,"1,299","1,377",60.2,34.13,5.66,94.34,512
2006-2007,113,Harrisonburg City,Mathematics,Grade 3,SOL,Mathematics,130,146,43,276,319,40.75,45.77,13.48,86.52,481
2006-2007,43,Henrico County,Mathematics,Grade 3,SOL,Mathematics,"1,813","1,299",341,"3,112","3,453",52.51,37.62,9.88,90.12,497
2006-2007,44,Henry County,Mathematics,Grade 3,SOL,Mathematics,232,234,48,466,514,45.14,45.53,9.34,90.66,487
2006-2007,45,Highland County,Mathematics,Grade 3,SOL,Mathematics,10,8,1,18,19,52.63,42.11,5.26,94.74,494
2006-2007,114,Hopewell City,Mathematics,Grade 3,SOL,Mathematics,88,144,52,232,284,30.99,50.7,18.31,81.69,466
2006-2007,46,Isle of Wight County,Mathematics,Grade 3,SOL,Mathematics,206,136,21,342,363,56.75,37.47,5.79,94.21,509
2006-2007,48,King George County,Mathematics,Grade 3,SOL,Mathematics,124,126,54,250,304,40.79,41.45,17.76,82.24,473
2006-2007,50,King William County,Mathematics,Grade 3,SOL,Mathematics,80,69,7,149,156,51.28,44.23,4.49,95.51,500
2006-2007,49,King and Queen County,Mathematics,Grade 3,SOL,Mathematics,27,21,7,48,55,49.09,38.18,12.73,87.27,487
2006-2007,51,Lancaster County,Mathematics,Grade 3,SOL,Mathematics,42,36,17,78,95,44.21,37.89,17.89,82.11,480
2006-2007,52,Lee County,Mathematics,Grade 3,SOL,Mathematics,138,98,10,236,246,56.1,39.84,4.07,95.93,509
2006-2007,137,Lexington City,Mathematics,Grade 3,SOL,Mathematics,30,15,3,45,48,62.5,31.25,6.25,93.75,518
2006-2007,53,Loudoun County,Mathematics,Grade 3,SOL,Mathematics,"2,434","1,329",362,"3,763","4,125",59.01,32.22,8.78,91.22,506
2006-2007,54,Louisa County,Mathematics,Grade 3,SOL,Mathematics,128,160,49,288,337,37.98,47.48,14.54,85.46,480
2006-2007,55,Lunenburg County,Mathematics,Grade 3,SOL,Mathematics,49,57,17,106,123,39.84,46.34,13.82,86.18,472
2006-2007,115,Lynchburg City,Mathematics,Grade 3,SOL,Mathematics,224,287,72,511,583,38.42,49.23,12.35,87.65,476
2006-2007,56,Madison County,Mathematics,Grade 3,SOL,Mathematics,52,67,15,119,134,38.81,50,11.19,88.81,477
2006-2007,143,Manassas City,Mathematics,Grade 3,SOL,Mathematics,180,214,96,394,490,36.73,43.67,19.59,80.41,469
2006-2007,144,Manassas Park City,Mathematics,Grade 3,SOL,Mathematics,112,85,17,197,214,52.34,39.72,7.94,92.06,503
2006-2007,116,Martinsville City,Mathematics,Grade 3,SOL,Mathematics,77,88,22,165,187,41.18,47.06,11.76,88.24,483
2006-2007,57,Mathews County,Mathematics,Grade 3,SOL,Mathematics,25,39,11,64,75,33.33,52,14.67,85.33,474
