School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,101,Alexandria City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,33,106,46,139,185,17.84,57.3,24.86,75.14,435
2005-2006,101,Alexandria City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,60,75,32,135,167,35.93,44.91,19.16,80.84,466
2005-2006,101,Alexandria City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,3,45,104,48,152,1.97,29.61,68.42,31.58,360
2005-2006,101,Alexandria City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,4,31,126,35,161,2.48,19.25,78.26,21.74,343
2005-2006,101,Alexandria City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,26,60,80,86,166,15.66,36.14,48.19,51.81,400
2005-2006,3,Alleghany County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,3,Alleghany County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,3,Alleghany County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,4,Amelia County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,4,Amelia County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,4,Amelia County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,4,Amelia County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,503
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,462
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,539
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,5,Amherst County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,6,Appomattox County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,6,Appomattox County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,6,Appomattox County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,111,178,54,289,343,32.36,51.9,15.74,84.26,465
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,50,149,115,199,314,15.92,47.45,36.62,63.38,426
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,94,149,115,243,358,26.26,41.62,32.12,67.88,441
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,2,54,203,56,259,0.77,20.85,78.38,21.62,350
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,9,72,216,81,297,3.03,24.24,72.73,27.27,347
2005-2006,7,Arlington County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,39,118,143,157,300,13,39.33,47.67,52.33,404
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,4,8,2,12,14,28.57,57.14,14.29,85.71,472
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,14,<,<,>50,<50,417
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,3,6,4,9,13,23.08,46.15,30.77,69.23,422
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,2,4,15,6,21,9.52,19.05,71.43,28.57,363
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,1,7,7,8,15,6.67,46.67,46.67,53.33,389
2005-2006,8,Augusta County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,8,9,5,17,22,36.36,40.91,22.73,77.27,470
2005-2006,9,Bath County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,7,8,1,15,16,43.75,50,6.25,93.75,499
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,483
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,471
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,440
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,403
2005-2006,10,Bedford County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,427
2005-2006,12,Botetourt County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,12,Botetourt County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,12,Botetourt County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,12,Botetourt County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,12,Botetourt County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,102,Bristol City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,102,Bristol City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,102,Bristol City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,102,Bristol City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,102,Bristol City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,13,Brunswick County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,13,Brunswick County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,13,Brunswick County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,13,Brunswick County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,13,Brunswick County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,14,Buchanan County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,14,Buchanan County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,15,Buckingham County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,15,Buckingham County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,15,Buckingham County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,15,Buckingham County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,103,Buena Vista City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,103,Buena Vista City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,103,Buena Vista City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,511
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,485
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,360
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,407
2005-2006,16,Campbell County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,478
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,478
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,5,10,3,15,18,27.78,55.56,16.67,83.33,464
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,532
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,346
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,380
2005-2006,17,Caroline County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,3,7,1,10,11,27.27,63.64,9.09,90.91,458
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,6,10,1,16,17,35.29,58.82,5.88,94.12,490
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,392
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,408
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,335
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,12,<,<,>50,<50,360
2005-2006,18,Carroll County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,3,7,1,10,11,27.27,63.64,9.09,90.91,467
2005-2006,19,Charles City County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,19,Charles City County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,20,Charlotte County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,20,Charlotte County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,20,Charlotte County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,20,Charlotte County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,20,Charlotte County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,6,2,3,8,11,54.55,18.18,27.27,72.73,475
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,6,5,1,11,12,50,41.67,8.33,91.67,479
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,417
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,389
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,322
2005-2006,104,Charlottesville City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,346
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,41,34,8,75,83,49.4,40.96,9.64,90.36,501
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,32,32,9,64,73,43.84,43.84,12.33,87.67,484
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,36,30,3,66,69,52.17,43.48,4.35,95.65,515
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,12,31,21,43,64,18.75,48.44,32.81,67.19,432
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,1,21,29,22,51,1.96,41.18,56.86,43.14,382
2005-2006,136,Chesapeake City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,33,34,20,67,87,37.93,39.08,22.99,77.01,469
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,99,131,32,230,262,37.79,50,12.21,87.79,477
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,50,123,68,173,241,20.75,51.04,28.22,71.78,438
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,79,98,34,177,211,37.44,46.45,16.11,83.89,468
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,19,78,147,97,244,7.79,31.97,60.25,39.75,381
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,17,63,138,80,218,7.8,28.9,63.3,36.7,379
2005-2006,21,Chesterfield County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,53,102,56,155,211,25.12,48.34,26.54,73.46,444
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,2,5,3,7,10,20,50,30,70,438
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,453
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,392
2005-2006,22,Clarke County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,490
2005-2006,202,Colonial Beach,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,202,Colonial Beach,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,202,Colonial Beach,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,202,Colonial Beach,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,202,Colonial Beach,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,489
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,473
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,376
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,106,Colonial Heights City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,467
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,23,27,6,50,56,41.07,48.21,10.71,89.29,481
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,17,22,14,39,53,32.08,41.51,26.42,73.58,453
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,17,27,12,44,56,30.36,48.21,21.43,78.57,453
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,2,12,21,14,35,5.71,34.29,60,40,384
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,3,8,28,11,39,7.69,20.51,71.79,28.21,361
2005-2006,24,Culpeper County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,15,17,15,32,47,31.91,36.17,31.91,68.09,437
2005-2006,25,Cumberland County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,25,Cumberland County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,25,Cumberland County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,25,Cumberland County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,25,Cumberland County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,9,12,0,21,21,42.86,57.14,0,100,485
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,2,6,3,8,11,18.18,54.55,27.27,72.73,452
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,4,7,1,11,12,33.33,58.33,8.33,91.67,488
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,13,<,<,>50,<50,410
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,442
2005-2006,108,Danville City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,3,4,4,7,11,27.27,36.36,36.36,63.64,449
2005-2006,26,Dickenson County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,26,Dickenson County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,453
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,491
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,518
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,3,2,5,5,10,30,20,50,50,401
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,408
2005-2006,27,Dinwiddie County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,5,4,3,9,12,41.67,33.33,25,75,451
2005-2006,28,Essex County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,28,Essex County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,28,Essex County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,28,Essex County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,28,Essex County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,670,887,311,"1,557","1,868",35.87,47.48,16.65,83.35,465
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,264,835,769,"1,099","1,868",14.13,44.7,41.17,58.83,419
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,493,719,563,"1,212","1,775",27.77,40.51,31.72,68.28,442
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,181,615,933,796,"1,729",10.47,35.57,53.96,46.04,391
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,99,442,"1,079",541,"1,620",6.11,27.28,66.6,33.4,368
2005-2006,29,Fairfax County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,414,621,594,"1,035","1,629",25.41,38.12,36.46,63.54,427
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,509
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,406
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 5,SOL,Mathematics,1,4,5,5,10,10,40,50,50,414
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,10,<,<,>50,<50,376
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,10,<,<,>50,<50,332
2005-2006,109,Falls Church City,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,450
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,14,37,4,51,55,25.45,67.27,7.27,92.73,462
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,7,21,19,28,47,14.89,44.68,40.43,59.57,426
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,11,28,9,39,48,22.92,58.33,18.75,81.25,449
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,1,19,39,20,59,1.69,32.2,66.1,33.9,355
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,1,9,30,10,40,2.5,22.5,75,25,348
2005-2006,30,Fauquier County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,13,20,13,33,46,28.26,43.48,28.26,71.74,446
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,31,Floyd County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,470
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50,384
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,402
2005-2006,32,Fluvanna County,Mathematics,Hispanic,Grade 8,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50,452
2005-2006,135,Franklin City,Mathematics,Hispanic,Grade 3,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,135,Franklin City,Mathematics,Hispanic,Grade 4,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,135,Franklin City,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,<,<,<,>50,<50, 
2005-2006,135,Franklin City,Mathematics,Hispanic,Grade 7,SOL,Mathematics,<,<,<,<,<,<,<,<50,>50, 
2005-2006,33,Franklin County,Mathematics,Hispanic,Grade 3,SOL,Mathematics,5,7,2,12,14,35.71,50,14.29,85.71,485
2005-2006,33,Franklin County,Mathematics,Hispanic,Grade 4,SOL,Mathematics,3,5,3,8,11,27.27,45.45,27.27,72.73,446
2005-2006,33,Franklin County,Mathematics,Hispanic,Grade 5,SOL,Mathematics,3,10,1,13,14,21.43,71.43,7.14,92.86,455
2005-2006,33,Franklin County,Mathematics,Hispanic,Grade 6,SOL,Mathematics,<,<,<,<,16,<,<,>50,<50,342
