"School Year","Division Number","Division Name","Subject","English Learner","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2008-2009","31","Floyd County","English:Reading","N","Grade 4","SOL","English Reading","51","67","14","118","132","38.64","50.76","10.61","89.39","491"
"2008-2009","31","Floyd County","English:Reading","N","Grade 5","SOL","English Reading","51","78","20","129","149","34.23","52.35","13.42","86.58","482"
"2008-2009","31","Floyd County","English:Reading","N","Grade 6","SOL","English Reading","60","58","14","118","132","45.45","43.94","10.61","89.39","492"
"2008-2009","31","Floyd County","English:Reading","N","Grade 7","SOL","English Reading","73","82","11","155","166","43.98","49.40","6.63","93.37","489"
"2008-2009","31","Floyd County","English:Reading","N","Grade 8","SOL","English Reading","62","82","33","144","177","35.03","46.33","18.64","81.36","465"
"2008-2009","31","Floyd County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","31","Floyd County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","443"
"2008-2009","31","Floyd County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","31","Floyd County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","31","Floyd County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","31","Floyd County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 3","SOL","English Reading","77","133","47","210","257","29.96","51.75","18.29","81.71","461"
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 4","SOL","English Reading","104","127","28","231","259","40.15","49.03","10.81","89.19","492"
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 5","SOL","English Reading","108","131","29","239","268","40.30","48.88","10.82","89.18","488"
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 6","SOL","English Reading","102","151","31","253","284","35.92","53.17","10.92","89.08","474"
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 7","SOL","English Reading","117","104","14","221","235","49.79","44.26","5.96","94.04","495"
"2008-2009","32","Fluvanna County","English:Reading","N","Grade 8","SOL","English Reading","137","118","28","255","283","48.41","41.70","9.89","90.11","494"
"2008-2009","32","Fluvanna County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","32","Fluvanna County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","135","Franklin City","English:Reading","N","Grade 3","SOL","English Reading","16","63","24","79","103","15.53","61.17","23.30","76.70","443"
"2008-2009","135","Franklin City","English:Reading","N","Grade 4","SOL","English Reading","25","37","12","62","74","33.78","50.00","16.22","83.78","466"
"2008-2009","135","Franklin City","English:Reading","N","Grade 5","SOL","English Reading","7","47","11","54","65","10.77","72.31","16.92","83.08","448"
"2008-2009","135","Franklin City","English:Reading","N","Grade 6","SOL","English Reading","15","39","15","54","69","21.74","56.52","21.74","78.26","454"
"2008-2009","135","Franklin City","English:Reading","N","Grade 7","SOL","English Reading","22","38","13","60","73","30.14","52.05","17.81","82.19","464"
"2008-2009","135","Franklin City","English:Reading","N","Grade 8","SOL","English Reading","11","42","13","53","66","16.67","63.64","19.70","80.30","444"
"2008-2009","33","Franklin County","English:Reading","N","Grade 3","SOL","English Reading","228","253","48","481","529","43.10","47.83","9.07","90.93","482"
"2008-2009","33","Franklin County","English:Reading","N","Grade 4","SOL","English Reading","282","190","25","472","497","56.74","38.23","5.03","94.97","508"
"2008-2009","33","Franklin County","English:Reading","N","Grade 5","SOL","English Reading","159","325","32","484","516","30.81","62.98","6.20","93.80","480"
"2008-2009","33","Franklin County","English:Reading","N","Grade 6","SOL","English Reading","201","266","42","467","509","39.49","52.26","8.25","91.75","489"
"2008-2009","33","Franklin County","English:Reading","N","Grade 7","SOL","English Reading","206","246","52","452","504","40.87","48.81","10.32","89.68","482"
"2008-2009","33","Franklin County","English:Reading","N","Grade 8","SOL","English Reading","214","275","56","489","545","39.27","50.46","10.28","89.72","484"
"2008-2009","33","Franklin County","English:Reading","Y","Grade 3","SOL","English Reading","4","8","2","12","14","28.57","57.14","14.29","85.71","474"
"2008-2009","33","Franklin County","English:Reading","Y","Grade 4","SOL","English Reading","6","7","2","13","15","40.00","46.67","13.33","86.67","469"
"2008-2009","33","Franklin County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","448"
"2008-2009","33","Franklin County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","514"
"2008-2009","33","Franklin County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2008-2009","33","Franklin County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","462"
"2008-2009","34","Frederick County","English:Reading","N","Grade 3","SOL","English Reading","364","445","151","809","960","37.92","46.35","15.73","84.27","474"
"2008-2009","34","Frederick County","English:Reading","N","Grade 4","SOL","English Reading","497","331","79","828","907","54.80","36.49","8.71","91.29","500"
"2008-2009","34","Frederick County","English:Reading","N","Grade 5","SOL","English Reading","382","441","66","823","889","42.97","49.61","7.42","92.58","492"
"2008-2009","34","Frederick County","English:Reading","N","Grade 6","SOL","English Reading","276","484","136","760","896","30.80","54.02","15.18","84.82","472"
"2008-2009","34","Frederick County","English:Reading","N","Grade 7","SOL","English Reading","394","391","93","785","878","44.87","44.53","10.59","89.41","490"
"2008-2009","34","Frederick County","English:Reading","N","Grade 8","SOL","English Reading","369","442","110","811","921","40.07","47.99","11.94","88.06","482"
"2008-2009","34","Frederick County","English:Reading","Y","Grade 3","SOL","English Reading","4","28","12","32","44","9.09","63.64","27.27","72.73","434"
"2008-2009","34","Frederick County","English:Reading","Y","Grade 4","SOL","English Reading","23","22","9","45","54","42.59","40.74","16.67","83.33","469"
"2008-2009","34","Frederick County","English:Reading","Y","Grade 5","SOL","English Reading","8","36","8","44","52","15.38","69.23","15.38","84.62","447"
